===============================================================
Gobuster v3.6
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://play.picoctf.org/practice?FUZZ=1
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /home/piyal/SecLists/Discovery/Web-Content/BurpSuite-ParamMiner/lowercase-headers
[+] Excluded Status codes:   400,301
[+] User Agent:              gobuster/3.6
[+] Timeout:                 10s
===============================================================
Starting gobuster in fuzzing mode
===============================================================
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Level-Max] https://play.picoctf.org/practice?Deflate-Level-Max=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Type-Gzip] https://play.picoctf.org/practice?Deflate-Type-Gzip=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Strategy-Rle] https://play.picoctf.org/practice?Deflate-Strategy-Rle=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Type-Zlib] https://play.picoctf.org/practice?Deflate-Type-Zlib=1
[2KFound: [Status=200] [Length=2466] [Word=Devblocksproxyhost] https://play.picoctf.org/practice?Devblocksproxyhost=1
[2KFound: [Status=200] [Length=2466] [Word=Destination] https://play.picoctf.org/practice?Destination=1
[2KFound: [Status=200] [Length=2466] [Word=Depth] https://play.picoctf.org/practice?Depth=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Type-Raw] https://play.picoctf.org/practice?Deflate-Type-Raw=1
[2KFound: [Status=200] [Length=2466] [Word=Delete] https://play.picoctf.org/practice?Delete=1
[2KFound: [Status=200] [Length=2466] [Word=Devblocksproxybase] https://play.picoctf.org/practice?Devblocksproxybase=1
[2KFound: [Status=200] [Length=2466] [Word=Destroy] https://play.picoctf.org/practice?Destroy=1
[2KFound: [Status=200] [Length=2466] [Word=Devblocksproxyssl] https://play.picoctf.org/practice?Devblocksproxyssl=1
[2KFound: [Status=200] [Length=2466] [Word=Device-Stock-Ua] https://play.picoctf.org/practice?Device-Stock-Ua=1
